reactive_energy_cost,imbalance_cost,harmonic_cost,neutral_current_cost,baseline_active_energy_cost
36525,29610.9000000011,3.1392576,6339.2868,194775
13200,37663.9999999992,3.2106564,4824.03,198900
6750,51384.9999999991,3.24324,4151.52,204150
8175,55770.9999999991,3.2418144,3033.72,206025
17550,53640.0000000004,3.2031594,2523,212325
18600,53136.0000000004,3.2035122,903.0675,215625
17925,59823.0000000006,3.2010426,706.8675,214575
15525,65834.9999999997,3.1991904,3.63,210900
14700,73835.9999999994,3.23433,4252.5675,210375
15525,55430.000000001,3.2035122,3336.6675,215250
14700,49896.0000000002,3.232548,75,214275
13800,49632.0000000013,3.2336172,999.1875,212100
12525,44760.0000000007,3.2371812,0.48,212325
13200,52874.9999999999,3.2364684,3062.4075,213225
13350,59894.9999999997,3.2335281,3898.8075,210600
14325,47250.0000000003,3.2354883,4218.75,217725
21225,44910.0000000003,3.2193612,1532.28,269625
20325,45636.9999999999,3.2205195,109.8075,269775
19500,45072.9999999999,3.2171337,138.72,269175
19275,47519.999999999,3.2207868,657.12,268725
19725,52675.9999999996,3.2206086,538.68,270375
18375,53663.9999999996,3.2232816,1452,268425
15675,50524.9999999999,3.2214996,73.5075,265800
18600,53472.0000000004,3.2210541,119.07,270675
20475,52639.9999999999,3.2238162,2488.32,272550
19125,48795.9999999997,3.229875,1621.6875,268800
20550,49590.0000000003,3.2291622,495.3675,269475
19350,47123.9999999998,3.2290731,2035.8075,267975
19125,44204.0000000007,3.2304987,1635.6675,263775
19500,48738.9999999999,3.2268456,836.67,262350
21600,45803.9999999998,3.2226579,961.23,266325
20925,42003,3.2253309,472.5075,265275
17850,44462.0000000007,3.2291622,5676.75,263325
16725,43095.0000000001,3.2296077,4007.7075,262200
14025,42902.0000000011,3.2294295,6210.75,257400
13275,45755.9999999996,3.2262219,1943.1075,258450
14250,47651.9999999998,3.2232816,2385.72,259125
15375,44853.9999999996,3.2228361,122.88,261450
12450,48465.0000000003,3.2232816,1830.27,251700
15075,47730.0000000008,3.2215887,1837.6875,258600
15975,47166.0000000002,3.2228361,5508.3675,253725
17175,47070.0000000003,3.222747,913.5075,260850
18225,46287.9999999998,3.2215887,4812.0075,262125
18675,46727.9999999998,3.2181138,5611.6875,263850
18525,48285.0000000003,3.2141934,67.6875,264300
22575,46482.9999999992,3.2077782,410.67,269475
21150,45863.9999999987,3.2114313,3812.7675,266325
21225,45509.9999999996,3.2154408,2929.6875,267000
18900,41513.9999999989,3.2134806,4029.6675,264075
17100,41181.0000000005,3.2113422,2277.0075,257175
16800,41267.9999999995,3.2110749,5292,253425
14325,43870.0000000012,3.2118768,5702.88,246375
13350,43120.0000000006,3.2099166,5067.63,242400
11325,45738.0000000002,3.2078673,5547,238275
10200,43932.0000000002,3.2121441,60.75,239250
10275,46595.9999999997,3.2110749,1837.6875,241050
11325,43279.999999999,3.2069763,739.47,239325
12675,46375.9999999998,3.1998483,3550.08,240600
13200,48135.9999999998,3.2020758,3909.63,241950
13350,49095.0000000003,3.2024322,353.1675,239625
13575,53423.9999999988,3.1993137,180.1875,238800
12900,59784.0000000002,3.1992246,6265.47,235650
13350,60371.9999999991,3.2087583,3.3075,235425
14850,36856.0000000004,3.2176683,1419.1875,242325
15375,44160.0000000006,3.2174901,104.43,242025
15150,46746.0000000002,3.2166882,716.1075,245625
13650,44894.9999999996,3.2132133,522.72,245850
15150,45570.0000000002,3.2100057,2976.75,250350
17700,42800.0000000006,3.2048379,17.28,259050
19500,42479.9999999991,3.2044815,1756.92,269250
20700,40833.0000000001,3.2051943,4286.52,268500
20625,42188.9999999996,3.2035905,3770.1075,267750
20925,44505.0000000007,3.2054616,297.0075,271050
22350,43257.9999999992,3.2024322,2948.4675,280500
20550,45990.0000000003,3.2019867,109.8075,279600
28050,46597.9999999994,3.203145,5702.88,286800
26925,49455.0000000003,3.2006502,2114.7075,291825
26700,51934.9999999999,3.2011848,6034.5675,291000
22725,49449.9999999993,3.2051052,106.2075,286725
21750,49679.9999999993,3.2039469,2523,286425
21300,49905.0000000003,3.2005611,1756.92,284550
21075,51793.9999999998,3.2007393,22.6875,282150
19275,60300,3.2059962,955.8675,278700
18150,53015.9999999999,3.204927,3227.52,271350
20325,46341.9999999998,3.2057289,6048.03,283350
19950,53350,3.2053725,1677.9675,282975
20325,132411.000000001,3.1962843,291.0675,282450
21900,196578.000000001,3.1898691,1786.08,283425
23625,166026.000000001,3.1935222,2051.4675,284850
25350,61768.0000000002,3.2035905,265.08,285975
26850,107255.999999999,3.1666446,3227.52,281925
27300,50094.0000000009,3.2041251,5808,283500
26625,72807.9999999991,3.2064417,3091.23,275700
27000,66096.0000000006,3.2041251,507,276750
26850,43848.0000000002,3.1994028,1399.68,271875
23550,53062.9999999999,3.2014521,4218.75,260025
31050,52279.9199999993,3.1617936,3447.63,264375
26850,51699.9999999999,3.16638,3931.32,264525
26850,47835.0000000003,3.166821,706.8675,263550
22950,45364.9999999992,3.2018085,2967.3075,259350
22125,44226.0000000002,3.2051052,5940.75,259050
20325,45794.9999999992,3.204036,550.8075,256500
20850,69027.0000000009,3.2025213,4896.48,256650
23775,192059.999999999,3.1564134,1478.52,260775
22500,204687,3.1555314,2252.28,260700
25650,60575.9999999987,3.2070402,2260.5075,262500
26400,51743.9999999997,3.2174478,2293.5675,261375
29925,84160.0000000001,3.2121558,797.07,263400
31650,122408.000000001,3.2064228,503.1075,264675
30000,68094.0000000008,3.2167422,4185.0675,263025
31050,49772.9999999999,3.221505,3198.0675,265125
31350,49391.9999999995,3.2182416,6156.27,266100
31125,53081.9999999992,3.2213286,209.1675,271275
29475,69149.9999999999,3.2221224,300,272550
29325,47939.9999999999,3.2140962,168.75,277575
28200,48336.0000000004,3.2193,3770.1075,273975
24075,52050,3.2553576,5663.7075,263850
24000,68014.9999999999,3.2534865,4896.48,264000
25425,56736.0000000004,3.2230044,5768.4675,262275
24750,59136.0000000005,3.2246802,1224.12,257400
23325,63194.9999999997,3.2220342,6389.4675,254475
24825,76992,3.218418,134.67,264900
28200,63956.0000000004,3.2218578,2610.75,276225
30300,63055.9999999987,3.2156838,138.72,279225
31500,63041.9999999993,3.2155074,2377.2675,280725
32175,48805.9999999993,3.2192118,5216.67,280725
31500,53615.9999999989,3.2134788,3326.67,282975
32175,52740.0000000003,3.2088042,3780.75,284925
32325,57650,3.2099508,151.23,285000
32175,81510.0000000013,3.2044824,3207.87,286200
31875,66939.0000000002,3.2050998,0.48,280200
33525,64480.0000000013,3.2027184,5676.75,276150
34350,63491.9999999995,3.2015718,4609.92,280050
31875,62118.0000000007,3.2086278,1254.6075,274875
32025,50524.9999999991,3.2093334,3.63,277500
32550,68671.9999999999,3.210039,961.23,275325
32475,63909.9999999996,3.2125968,164.28,280200
26025,48047.9999999997,3.2187708,256.6875,267075
25950,45017.9999999996,3.2527737,27.9075,266475
24075,43720.0000000006,3.2558922,1200,262350
24900,46200.0000000002,3.2222106,2219.52,257925
27000,52670.0000000009,3.2159484,32.67,258975
26100,51304.0000000014,3.2124204,410.67,258600
24975,49609.9999999996,3.2169186,5067.63,257025
23025,52890.0000000008,3.2180652,4118.1075,251850
22350,49117.9999999996,3.2191236,3257.1075,246375
22050,48800.0000000007,3.2205348,315.1875,243000
21450,47919.999999999,3.2527737,1808.1075,247275
22200,43199.9999999999,3.2501007,79.5675,250950
23100,49733.0000000013,3.2176242,2059.32,247350
27225,47969.9999999996,3.2125968,1129.08,258075
26400,55083.9999999999,3.2120676,787.32,251025
27600,56016.0000000005,3.2125086,3612.27,258825
28575,55679.9999999988,3.2115384,25.23,272175
29100,58967.9999999995,3.2081868,2170.83,276225
29925,57732.0000000005,3.2040414,472.5075,277425
32175,55900,3.2041296,6375.63,277425
28125,75206.0000000006,3.2032476,2727.0675,272025
22800,157136.000000001,3.2023656,538.68,263925
20400,225569.999999999,3.1938984,1706.4675,261975
20775,79127.9999999994,3.2351319,327.6075,262800
20700,58895.9999999987,3.2384286,5676.75,255375
19800,48119.999999999,3.2354883,115.32,252450
18900,45333.9999999994,3.2365575,4207.5075,246300
18225,44967.0000000001,3.2394087,6306.6675,248475
18375,102726,3.2358447,113.4675,246600
16275,48676.0000000007,3.2411016,3519.1875,244350
15675,52255.9999999993,3.2401215,428.4075,242025
16275,58904.999999999,3.237894,1094.43,243450
15675,51116.0000000011,3.2392305,224.4675,240000
17250,52086.9999999995,3.2332608,5808,239775
18825,80064.0000000001,3.2274693,5431.5075,240600
25125,66042.0000000007,3.1975146,1158.3675,240300
26400,61739.9999999994,3.1991022,4527.9675,243975
24375,103818,3.1953096,5469.87,240600
24300,237303,3.1834026,3062.4075,240450
22425,194789.999999999,3.1880772,6389.4675,238050
19125,108232,3.196809,5266.83,232500
16950,109311,3.2278257,100.92,231825
16050,117747,3.2259546,376.32,230925
14175,66149.9999999995,3.235221,4423.68,222900
14025,77286.0000000013,3.2260437,588,220275
15750,110175.999999999,3.1943394,575.4675,223725
16200,82008.0000000002,3.2310333,1552.6875,224550
15600,89063.9999999999,3.2329935,366.3075,222150
14850,77867.9999999995,3.2291622,10.83,224700
16350,53544.0000000009,3.2286276,1742.43,240225
15975,58185.9999999999,3.2255982,1830.27,245325
17100,57339.9999999999,3.2205195,5585.7675,253725
18825,101156.000000001,3.2096493,2505.63,257775
18450,116702,3.2077782,3207.87,257175
20925,101156.000000001,3.2097384,227.07,256950
21150,82159.9999999989,3.2055507,5598.72,257625
21150,62452.0000000012,3.2114313,972,258300
21225,57281.000000001,3.2154408,48,256650
20100,56688.0000000005,3.2164209,4824.03,243975
16875,69251.9999999999,3.2130351,546.75,238650
14625,56351.9999999988,3.2257764,55.47,229875
13725,57476.9999999994,3.2258655,1170.1875,233250
8925,53415.0000000004,3.2268456,3346.68,227325
9525,50912.0000000008,3.2262219,1808.1075,225675
12150,51083.9999999992,3.2193612,787.32,235800
11325,52545.9999999991,3.2198958,0.75,234000
10800,63000,3.2212323,1845.12,232275
9300,60535.9999999998,3.2231034,1943.1075,231300
11400,61152.0000000005,3.2190939,2411.1675,234450
11775,60200,3.2186484,3664.5075,232950
12150,73809.0000000004,3.2055507,5495.52,237450
12825,116511.999999999,3.2010066,1764.1875,241350
13575,95534.0000000012,3.2097384,63.48,241500
13275,90230.0000000004,3.2098275,42.1875,238725
14100,79365.0000000007,3.2076,1273.08,242175
12825,67769.999999999,3.2100948,5715.9675,239700
10125,57223.9999999992,3.2169555,5940.75,230100
