costoreactiva,costodesbalance,costoarmonicos,costocorrienteneutra,costolineabase
8200,15300,2.10,850,101000
8400,15750,2.15,820,102500
8100,16100,2.20,880,104000
8600,16600,2.18,900,105500
9000,17000,2.25,870,107000
9300,17400,2.30,920,108500
9500,17900,2.28,940,110000
9800,18300,2.35,910,111500
10100,18800,2.40,960,113000
10400,19200,2.38,980,114500
10800,19700,2.45,950,116000
11100,20100,2.50,1000,117500
11400,20600,2.48,1020,119000
11800,21000,2.55,990,120500
12100,21500,2.60,1040,122000
12500,21900,2.58,1060,123500
12800,22400,2.65,1030,125000
13200,22800,2.70,1080,126500
13500,23300,2.68,1100,128000
13900,23700,2.75,1070,129500
